sentence,count_words,pos_adj,pos_adp,pos_adv,pos_aux,pos_cconj,pos_det,pos_intj,pos_noun,pos_num,pos_part,pos_pron,pos_propn,pos_punct,pos_sconj,pos_sym,pos_verb,pos_x,pos_comparatives,pos_superlatives,subjectivity
"Os dois se mudam para uma casa com fama de má assombrada em Faetherbank, no interior e descobrem às duras penas que a residência possui relação com crimes macabros na cidade.",31.0,3.0,8.0,3.0,0.0,1.0,3.0,0.0,8.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
"Conta a historia de cada uma de seus momentos marcantes de tim tim por tim fala de os conflitos de uma amizade, de a tristeza quando acontece algo com alguma amiga ...",31.0,1.0,7.0,1.0,0.0,0.0,7.0,0.0,9.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0
"De leitura muito fácil, é um livro acessível aos mais jovens.",11.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"Ainda arrasado após a perda da esposa, Tom Kennedy se muda com o filho Jake para o pacato vilarejo de Featherbank, em busca de um recomeço mais do que necessário.",30.0,2.0,8.0,2.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,2.0,4.0,3.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0
"Vinte anos antes, um pervertido assassino em série sequestrou e matou cinco meninos.",13.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
"Nesse livro se desenrola uma história onde o próprio assassino se torna vitima de seu plano, mas não porque tenha dado errado, mas pelo contrario, deu tão certo que quando ele quis contar a verdade ninguém, mas ninguém mesmo, acreditava nele.",41.0,1.0,3.0,1.0,1.0,3.0,5.0,0.0,7.0,0.0,0.0,7.0,0.0,6.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0
"O livro em si trata de forma intensa a vida de um portador de transtorno mental, nos alerta quanto as maneiras de lidar com pessoas que passam por isso.",29.0,2.0,7.0,2.0,0.0,0.0,4.0,0.0,8.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
Indicado para crianças e pré-adolescentes!,5.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"O livro é um compilado de 10 contos peculiares (sério?) feito pelo estudioso de peculiaridades Millard Nullings, e retrata o folclore das crianças.",23.0,2.0,4.0,2.0,1.0,1.0,3.0,0.0,7.0,1.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Ele é um amigo muito querido e respeitado pela família Woodhouse,11.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"O livro mostra basicamente três coisas que Hemingway mais gostava. Bebida, boemia e a força da natureza contra o homem.",20.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,7.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
"A leitura é curta e simples, apesar de ter uma crítica enorme por entre as linhas.",16.0,3.0,3.0,3.0,1.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"O país e o povo vivem em torpor, um torpor causado pela fome, pela falta de esperança, pela proximidade com a morte.",22.0,0.0,6.0,0.0,0.0,1.0,4.0,0.0,9.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Muidinga e Tuahir servem de voz condutora ligando os muitos fios fabulários num eixo comum.,15.0,3.0,2.0,3.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
"O marido de Verity, Jeremy Crawford, e Lowen combinam da mulher passar um tempo na casa deles para analisar todo o material de Verity.",24.0,0.0,4.0,0.0,0.0,1.0,4.0,0.0,5.0,0.0,0.0,1.0,5.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
"Um livro que explicita com detalhes as consequências de uma guerra, com mistura da cultura africana e o realismo mágico.",20.0,2.0,4.0,2.0,0.0,1.0,4.0,0.0,7.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"E nessas história a quantidade de temas é gigantesca: racismo, abandono, violência, colonização, sexualidade, identidade nacional etc.",17.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"No meio do material sobre os livros, Lowen encontra um manuscrito que descobre ser uma autobiografia da mulher.",18.0,0.0,4.0,0.0,1.0,0.0,3.0,0.0,6.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
O enredo mostra o conflito dos personagens entre os meios e os fins para solucionar o problema de superpopulação do planeta.,21.0,0.0,4.0,0.0,0.0,1.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
"Inferno remete claramente à obra Divina Comédia do artista Dante Alighieri e seus desdobramentos, onde a pessoa que comete pecados deve sofrer muito para ter a chance de chegar ao Paraíso.",31.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,7.0,0.0,0.0,2.0,5.0,2.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0
O livro também aborda a superpopulação como um problema de saúde pública.,12.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
A capa contém tons acinzentados com a imagem de Dante e possui dois gráficos.,14.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
"O livro foi adaptado para o cinema, mas com alterações, como sempre.",12.0,0.0,3.0,0.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"O conto se passa no interior de Minas, existindo farta nomeação de lugares e regiões.",15.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
"Apesar dos neologismos, que podem tornar a leitura um complexa, ele busca a alma dos sertanejos e dos moradores das regiões rurais.",22.0,2.0,3.0,2.0,0.0,1.0,4.0,0.0,6.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
"O Partido utiliza das seguintes ferramentas para controlar a população: a teletela, uma fusão de televisão, câmera e escuta para espionagem.",21.0,1.0,3.0,1.0,0.0,1.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
"Ler 1984 é um ato de legítima defesa, onde a cada página aprendemos como as engrenagens realmente funcionam na história política da humanidade.",23.0,2.0,4.0,2.0,1.0,0.0,3.0,0.0,6.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
"Vivendo em uma sociedade distópica, Winston, o herói da história, vive uma vida de medo e sofrimento.",17.0,1.0,3.0,1.0,0.0,1.0,3.0,0.0,6.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
"Tudo é controlado minuciosamente pelo partido e tudo é vigiado pelo grande irmão, que é o único salvador e pessoa chave da ideologia.",23.0,2.0,3.0,2.0,3.0,2.0,1.0,0.0,6.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
"Eles enfrentaram os mistérios mais sinistros dos últimos sessenta anos, sempre em busca da verdade.",15.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
"Levanta algumas questões filosóficas mas não se aprofunda muito, deixa pra o leitor refletir depois.",15.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Após uma guerra nuclear poucos seres humanos permaneceram na Terra.,10.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Boa parte da população agora vive em Marte junto a androides contruídos para trabalhar em grandes explorações espaciais.,18.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
Para suprir necessidades de afeto foram criadas versões mecânicas dos bichinhos de estimação.,13.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
"Deckard, entretanto, não tem condições financeiras para isso e por isso continua preso à Terra e se torna um caçador de androides.",22.0,1.0,4.0,1.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
"Ao mesmo tempo pode-se perceber toda a crueldade que a Segunda Guerra Mundial espalhava, dividindo as pessoas entre o medo, a submissão e a sede de justiça.",27.0,1.0,3.0,1.0,0.0,1.0,7.0,0.0,7.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Bruno não suspeita que esse menino é judeu e está trancado naquele terreno com seu povo.,16.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
"Bruno não conta sobre o novo amigo para sua família e, à medida que os dias passam, a amizade secreta entre os dois cresce.",24.0,2.0,5.0,2.0,0.0,1.0,5.0,0.0,5.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
"Bruno observa por dias a cerca, e muitas perguntas se formam, ele não entende porque todos usam pijama listrado.",19.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0
"Por conta do novo cargo do pai, a família acaba tendo que se mudar.",14.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
"A nova casa não agrada o menino; fica longe de Berlim e é um local muito isolado, repleto de soldados trabalhando.",21.0,3.0,2.0,3.0,1.0,1.0,3.0,0.0,4.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
"A narrativa é feita em terceira pessoa, porém pelos olhos de Bruno, por isso toda a simplicidade e inocência.",19.0,1.0,4.0,1.0,1.0,2.0,3.0,0.0,5.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ele confunde o nome do local de sua nova residência e entende de maneira errônea o título de Führer.,19.0,2.0,4.0,2.0,0.0,1.0,3.0,0.0,5.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
"E essa inocência expõe ainda mais tudo aquilo que os nazistas fizeram de ruim, deixa tudo mais evidente.",18.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0
"Norman é o racional, é quem limpa a sujeira e os protege das consequências dos atos da mãe.",18.0,1.0,3.0,1.0,2.0,1.0,2.0,0.0,5.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Quando ela está no meio da estrada a noite, começa um temporal e sua única opção é parar no motel mais próximo.",22.0,2.0,4.0,2.0,2.0,1.0,2.0,0.0,6.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
"Mas chegando lá, ela não está e ele também não tem nenhuma notícia.",13.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Então Lily e Sam se juntam com um detetive particular e vão em busca de Mary.,16.0,1.0,3.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
"Norman Bates vive sozinho, tomando conta do Motel Bates numa estrada agora abandonada num local isolado.",16.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
"Dado o sumiço de Mary, o roubo é notado e muitas pessoas estão interessadas em encontrá-la.",16.0,1.0,1.0,1.0,2.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
"Um dia, Mary é encarregada pelo chefe de fazer um depósito no banco de uma grande quantidade de dinheiro.",19.0,1.0,4.0,1.0,1.0,0.0,2.0,0.0,6.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
Mas ela tem uma atitude impulsiva e foge com o dinheiro.,11.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
"Bates se dedica apenas a cuidar do motel da família, onde sofreu uma grande queda de clientes desde que uma nova rodovia foi criada.",24.0,2.0,4.0,2.0,1.0,0.0,2.0,0.0,5.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,4.0,0.0,1.0,0.0,0.0
O livro conta a história de cinco homens que estão numa taverna bebendo e contando histórias.,16.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
"As cinco histórias possuem traços em comum, assim como os seus narradores.",12.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Ele se apaixona por uma espanhola chamada Ângela, que mata o próprio marido e a própria filha para ficar com Bertram.",21.0,0.0,2.0,0.0,0.0,1.0,5.0,0.0,3.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0
"Os dois ficam juntos, mas depois de um tempo ela parte e ele vai para a Itália, viver aventuras no mar.",21.0,0.0,3.0,0.0,0.0,2.0,3.0,0.0,4.0,1.0,0.0,2.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Ele conta que era aprendiz de um pintor.,8.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
"A edição que li, tem 96 páginas e tem uma linguagem carregada do rebuscamento do período.",16.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,5.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0
"Na narrativa é possível identificar a comparação entre campo e cidade, comum nas histórias do autor, assim como a relação entre a elite e a classe trabalhadora.",27.0,3.0,5.0,3.0,1.0,2.0,4.0,0.0,9.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"É uma importante obra que marca a terceira fase de Queirós, mais pós-realista.",13.0,3.0,1.0,3.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
"Mas o núcleo da ação se desenvolve no final do século, sendo, portanto, contemporânea à publicação da obra.",18.0,1.0,5.0,1.0,1.0,2.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
"Ambos os personagens principais passam por muitas mudanças ao longo do enredo e tem suas ideologias/opiniões postas à prova e, por vezes, modificadas.",23.0,1.0,5.0,1.0,0.0,2.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
"O texto reforça que uma das maiores capacidades do ser humano, é a de poder estar errado, de errar, e depois, a de poder corrigir ou permanecer errado.",28.0,4.0,3.0,4.0,2.0,2.0,1.0,0.0,3.0,1.0,0.0,2.0,0.0,5.0,3.0,0.0,6.0,0.0,2.0,0.0,0.0
"Os leitores encontrarão muitos pontos em comum com religiões ou filosofias, especialmente orientais, se já tiverem tido contato.",18.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
"Tem capa dura, as laterias das folhas em vermelho, folhas amareladas, notas sobre as fontes, curiosidades e muitas imagens.",19.0,1.0,3.0,1.0,0.0,1.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
"Um livro com muitas curiosidades sobre a morte, e como ela ""vira pó"" para aquele que são cremados.",18.0,0.0,3.0,0.0,1.0,1.0,4.0,0.0,4.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
"Os pitiguaras, que vivem na costa cearense, são inimigos naturais dos tabajaras, que vivem mais para o interior.",18.0,2.0,3.0,2.0,1.0,0.0,2.0,0.0,5.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
O livro trata da relação entre as novidades e modas das grandes cidades (no livro representadas por Paris) e os prazeres simples da vida no campo (as serras de Portugal).,30.0,2.0,8.0,2.0,0.0,2.0,4.0,0.0,10.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
"O conto de Aia foi escrito pela canadense Margaret Atwood em 1985, mas voltou a ser um dos mais vendidos devido a série The Handmaid's Tale, que foi baseada no livro.",31.0,1.0,5.0,1.0,3.0,1.0,2.0,0.0,3.0,2.0,0.0,1.0,7.0,3.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0
"As mudanças são bruscas e as mulheres são as mais prejudicadas pois perderam os direitos de trabalhar, de serem alfabetizadas, de votar e praticamente de serem livres.",27.0,3.0,1.0,3.0,4.0,2.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0
"E a última casta é a das Aias, que são mulheres de vermelho, em idade fértil, usadas exclusivamente para procriar.",20.0,2.0,3.0,2.0,2.0,1.0,1.0,0.0,4.0,0.0,0.0,2.0,1.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
"Isso porque devido a questões desconhecidas, muitas pessoas se tornaram inférteis.",11.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
"E as mulheres que têm mais chances de engravidar são obrigadas a terem relações sexuais com os comandantes e quando dão a luz, são obrigadas a deixarem seus filhos.",29.0,1.0,1.0,1.0,2.0,2.0,5.0,0.0,6.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,7.0,0.0,1.0,0.0,0.0
"A história é narrada através de uma Aia, que conta desde sua vida antes do golpe, quando ainda vivia com seu marido e filha, sobre o tempo que passou no Centro Vermelho, onde foi treinada para a vida de Aia.",40.0,0.0,8.0,0.0,2.0,1.0,6.0,0.0,7.0,0.0,0.0,3.0,4.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
Até o seu cotidiano na casa do Comandante onde começa a descobrir que nem tudo é como se imagina.,19.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0
"Se trata de uma distopia, um futuro não muito distante, onde tudo muda da noite pro dia e as mulheres são as principais vítimas.",24.0,2.0,3.0,2.0,1.0,1.0,4.0,0.0,6.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0
"Offred um dia foi casada com Luke, com quem teve uma filha, Hanna – os quais ela não faz ideia se estão vivos ou não.",25.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,3.0,1.0,0.0,3.0,3.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
A região de Gilead é tomada por uma ditadura patriarcal fortemente fomentada por um aparato cristão distorcido,17.0,2.0,3.0,2.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
"Regida por versões exageradas e distorcidas do Velho Testamento, a sociedade está agora dividia em castas masculinas e femininas.",19.0,2.0,3.0,2.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
"Em 1985 o autor apresenta a vida ""atual"" dos antigos amigos do grupo de Bill Denbrough, chamado Clube dos Otários.",20.0,2.0,5.0,2.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Zobrist um gênio cientista a frente do seu tempo cria um vírus que promete acabar com a superpopulação da Terra que em breve irá entrar em colapso.,27.0,1.0,6.0,1.0,1.0,0.0,4.0,0.0,8.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
A leitura era realizada nos intervalos do trabalho e atividades diárias fora de casa.,14.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Mais uma vez Robert Langdon se viu na iminência de ter que resolver enigmas e mensagens para ajudar a encontrar algo que poderia afetar toda a humanidade.,27.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,6.0,0.0,0.0,3.0,2.0,1.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0
"A história começa com o renomado professor universitário de simbologia da Harvard, Robert Langdon acordando dentro do hospital, um pouco desorientado e com um ferimento na cabeça causado por um tiro de raspão na parte de trás da nuca.",39.0,2.0,11.0,2.0,0.0,1.0,5.0,0.0,10.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
"Ao sentar na cama e observar pela janela do quarto, Robert percebeu que não estava em Massachusetts e sim, em Florença.",21.0,0.0,5.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0
"Não lembrança de nada das últimas trinta e seis horas, não tem a menor idéia de como saiu dos Estados Unidos e chegou até a Itália e porque estava numa cama de hospital.",33.0,2.0,6.0,2.0,1.0,3.0,2.0,0.0,5.0,2.0,0.0,1.0,3.0,2.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0
Ferido e sem saber o que fazer Robert consegue fugir do hospital com ajuda da Dra. Brooks.,17.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,2.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0
